A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.454962409855305,9.121699094987802,Lorenteggio,45.43874786889141,9.1958272824189,Ex Om - Morivione,June,Thursday,18,7475,11235,1358,3208
45.461520660927754,9.159066356881926,Washington,45.444289935632945,9.178146982681207,Ticinese,October,Tuesday,23,3516,4197,593,2499
45.51550267157716,9.224396179684458,Precotto,45.50007902946335,9.150008153390688,Villapizzone,August,Tuesday,9,8888,10001,1468,2528
45.49446300184754,9.253991027174418,San Gregorio,45.442590014857,9.226995475167193,Corvetto,October,Friday,11,11036,12320,594,3996
45.46049994545853,9.245005761175005,Quartiere Forlanini,45.46488759065818,9.162036712094663,Washington,March,Wednesday,7,9796,7354,1815,3565
45.441105410454256,9.126223159728085,Giambellino,45.47794173620507,9.144896206224864,De Angeli - Monte Rosa,March,Saturday,1,7315,7333,845,4464
45.494805661635404,9.238926587839947,Rottole,45.495949821955655,9.241945164946051,Cimiano,June,Wednesday,8,903,535,232,555
45.50370853763,9.161287984500662,Bovisa,45.50243716749086,9.117560252819889,Garegnano,November,Friday,14,6706,5905,750,3005
45.493403625301035,9.251986309185913,Parco Lambro,45.447946072006935,9.256426880362556,Taliedo,December,Sunday,4,6423,10956,401,5813
45.45593377505805,9.156493322524456,Tortona,45.48774604042173,9.217578923525897,Loreto,March,Monday,1,7525,10455,1192,4273
45.50550365133754,9.176153724845674,Dergano,45.46206820975289,9.229692741657463,Corsica,March,Saturday,20,7895,7571,1439,2928
45.48588182996656,9.18150145514869,Porta Volta,45.446051814849895,9.232495278743981,Lodi - Corvetto,March,Tuesday,1,7768,10879,1119,5347
45.44123720388032,9.231763995580078,Corvetto,45.50140622675664,9.121582119103806,Boldinasco,April,Monday,9,13668,19631,2294,4396
45.469290178161714,9.123538179791929,Quarto Cagnino,45.498708398010145,9.125413179586237,Boldinasco,July,Saturday,19,5707,8259,806,2879
45.46990521418266,9.137545278925433,Selinunte,45.48217226933363,9.155398707306084,Portello,April,Wednesday,14,2436,2816,478,1815
45.45409295897049,9.121922686515425,Lorenteggio,45.497461927308485,9.184267542610698,Dergano,January,Thursday,3,8921,9858,1190,5220
45.4424997613359,9.13028481592162,Giambellino,45.44699476975133,9.172187794711403,Zona Navigli,December,Tuesday,15,4569,4091,841,2235
45.48551236199262,9.116165068607744,Lampugnano,45.46533503731996,9.138152023061515,Bande Nere,April,Monday,18,3671,4457,476,2598
45.519029397370126,9.184054878700147,Parco Nord,45.47144195701551,9.15780664137187,Pagano,April,Saturday,1,14363,18465,1012,5888
45.46548439280887,9.189040432206816,Duomo,45.47585799272981,9.117557492463568,San Siro,September,Thursday,18,6695,10673,1626,2334
45.48924500115724,9.154182045567959,Cagnola,45.46087595332394,9.190367066527665,Duomo,April,Wednesday,12,6516,4991,1518,2170
45.441602829271424,9.157902571415752,San Cristoforo,45.46329877367909,9.134176525100655,Bande Nere,March,Saturday,12,3879,4034,711,2464
45.47396506427984,9.230113044274976,Città Studi,45.452369589922306,9.226320960281203,Ortomercato,October,Monday,7,3622,3207,666,1491
45.444524586832735,9.224255978083864,Lodi - Corvetto,45.46392928430199,9.199552031055582,Guastalla,July,Tuesday,11,3538,4083,800,1810
45.49528722861811,9.135600486199653,Boldinasco,45.47704216758188,9.133660617507898,San Siro,April,Monday,8,4934,5342,744,2454
45.5150401093444,9.130722729944205,Vialba,45.46305525235477,9.236976807841522,Corsica,May,Monday,12,28819,12161,1683,4874
